Country,Confirmed,Date,New Cases
Argentina,736609,2020-09-29 00:00:00+00:00,13477
Argentina,751001,2020-09-30 00:00:00+00:00,14392
Argentina,765002,2020-10-01 00:00:00+00:00,14001
Argentina,779689,2020-10-02 00:00:00+00:00,14687
Argentina,790818,2020-10-03 00:00:00+00:00,11129
Argentina,798486,2020-10-04 00:00:00+00:00,7668
Argentina,809728,2020-10-05 00:00:00+00:00,11242
Argentina,824468,2020-10-06 00:00:00+00:00,14740
Argentina,840915,2020-10-07 00:00:00+00:00,16447
Argentina,856369,2020-10-08 00:00:00+00:00,15454
Argentina,871468,2020-10-09 00:00:00+00:00,15099
Argentina,883882,2020-10-10 00:00:00+00:00,12414
Argentina,894206,2020-10-11 00:00:00+00:00,10324
Argentina,903730,2020-10-12 00:00:00+00:00,9524
Argentina,917035,2020-10-13 00:00:00+00:00,13305
Argentina,931967,2020-10-14 00:00:00+00:00,14932
Argentina,949063,2020-10-15 00:00:00+00:00,17096
Argentina,965609,2020-10-16 00:00:00+00:00,16546
Argentina,979119,2020-10-17 00:00:00+00:00,13510
Argentina,989680,2020-10-18 00:00:00+00:00,10561
Argentina,1002662,2020-10-19 00:00:00+00:00,12982
Argentina,1018999,2020-10-20 00:00:00+00:00,16337
Argentina,1037325,2020-10-21 00:00:00+00:00,18326
Argentina,1053650,2020-10-22 00:00:00+00:00,16325
Argentina,1069368,2020-10-23 00:00:00+00:00,15718
Argentina,1081336,2020-10-24 00:00:00+00:00,11968
Argentina,1090589,2020-10-25 00:00:00+00:00,9253
Argentina,1102301,2020-10-26 00:00:00+00:00,11712
Argentina,1116609,2020-10-27 00:00:00+00:00,14308
Argentina,1130533,2020-10-28 00:00:00+00:00,13924
Argentina,1143800,2020-10-29 00:00:00+00:00,13267
Argentina,1157179,2020-10-30 00:00:00+00:00,13379
Argentina,1166924,2020-10-31 00:00:00+00:00,9745
Argentina,1173533,2020-11-01 00:00:00+00:00,6609
Argentina,1183131,2020-11-02 00:00:00+00:00,9598
Argentina,1195276,2020-11-03 00:00:00+00:00,12145
Argentina,1205928,2020-11-04 00:00:00+00:00,10652
Argentina,1217028,2020-11-05 00:00:00+00:00,11100
Argentina,1228814,2020-11-06 00:00:00+00:00,11786
Argentina,1236851,2020-11-07 00:00:00+00:00,8037
Argentina,1242182,2020-11-08 00:00:00+00:00,5331
Argentina,1250499,2020-11-09 00:00:00+00:00,8317
Argentina,1262476,2020-11-10 00:00:00+00:00,11977
Argentina,1273356,2020-11-11 00:00:00+00:00,10880
Argentina,1284519,2020-11-12 00:00:00+00:00,11163
Argentina,1296378,2020-11-13 00:00:00+00:00,11859
Argentina,1304846,2020-11-14 00:00:00+00:00,8468
Argentina,1310491,2020-11-15 00:00:00+00:00,5645
Argentina,1318384,2020-11-16 00:00:00+00:00,7893
Argentina,1329005,2020-11-17 00:00:00+00:00,10621
Argentina,1339337,2020-11-18 00:00:00+00:00,10332
Argentina,1349434,2020-11-19 00:00:00+00:00,10097
Argentina,1359042,2020-11-20 00:00:00+00:00,9608
Argentina,1366182,2020-11-21 00:00:00+00:00,7140
Argentina,1370366,2020-11-22 00:00:00+00:00,4184
Argentina,1374631,2020-11-23 00:00:00+00:00,4265
Argentina,1381795,2020-11-24 00:00:00+00:00,7164
Argentina,1390388,2020-11-25 00:00:00+00:00,8593
Argentina,1399431,2020-11-26 00:00:00+00:00,9043
Argentina,1407277,2020-11-27 00:00:00+00:00,7846
Argentina,1413375,2020-11-28 00:00:00+00:00,6098
Argentina,1418807,2020-11-29 00:00:00+00:00,5432
Argentina,1424533,2020-11-30 00:00:00+00:00,5726
Argentina,1432570,2020-12-01 00:00:00+00:00,8037
Argentina,1440103,2020-12-02 00:00:00+00:00,7533
Argentina,1447732,2020-12-03 00:00:00+00:00,7629
Argentina,1454631,2020-12-04 00:00:00+00:00,6899
Argentina,1459832,2020-12-05 00:00:00+00:00,5201
Argentina,1463110,2020-12-06 00:00:00+00:00,3278
Argentina,1466309,2020-12-07 00:00:00+00:00,3199
Argentina,1469919,2020-12-08 00:00:00+00:00,3610
Argentina,1475222,2020-12-09 00:00:00+00:00,5303
Argentina,1482216,2020-12-10 00:00:00+00:00,6994
Argentina,1489328,2020-12-11 00:00:00+00:00,7112
Argentina,1494602,2020-12-12 00:00:00+00:00,5274
Argentina,1498160,2020-12-13 00:00:00+00:00,3558
Argentina,1503222,2020-12-14 00:00:00+00:00,5062
Argentina,1510203,2020-12-15 00:00:00+00:00,6981
Argentina,1517046,2020-12-16 00:00:00+00:00,6843
Argentina,1524372,2020-12-17 00:00:00+00:00,7326
Argentina,1531374,2020-12-18 00:00:00+00:00,7002
Argentina,1537169,2020-12-19 00:00:00+00:00,5795
Argentina,1541285,2020-12-20 00:00:00+00:00,4116
Argentina,1547138,2020-12-21 00:00:00+00:00,5853
Argentina,1555279,2020-12-22 00:00:00+00:00,8141
Argentina,1563865,2020-12-23 00:00:00+00:00,8586
Argentina,1563865,2020-12-24 00:00:00+00:00,0
Argentina,1574554,2020-12-25 00:00:00+00:00,10689
Argentina,1578267,2020-12-26 00:00:00+00:00,3713
Argentina,1583297,2020-12-27 00:00:00+00:00,5030
Argentina,1590513,2020-12-28 00:00:00+00:00,7216
Argentina,1602163,2020-12-29 00:00:00+00:00,11650
Argentina,1613928,2020-12-30 00:00:00+00:00,11765
Argentina,1625514,2020-12-31 00:00:00+00:00,11586
Argentina,1629594,2021-01-01 00:00:00+00:00,4080
Argentina,1634834,2021-01-02 00:00:00+00:00,5240
Argentina,1640718,2021-01-03 00:00:00+00:00,5884
Argentina,1648940,2021-01-04 00:00:00+00:00,8222
Argentina,1662730,2021-01-05 00:00:00+00:00,13790
Argentina,1676171,2021-01-06 00:00:00+00:00,13441
Argentina,1690006,2021-01-07 00:00:00+00:00,13835
Argentina,1703352,2021-01-08 00:00:00+00:00,13346
